trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
388,False,"{'a': 0.8, 'e': 0.020251421078849283}",25,20,10.326234682856802,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.8, 'e': 0.02004890686806079}",20,10,16.387864236499837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.8, 'e': 0.019848417799380184}",35,19,37.55514608001272,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.8, 'e': 0.01964993362138638}",25,14,18.71855416080264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.8, 'e': 0.019453434285172516}",25,17,14.105424438918272,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.8, 'e': 0.01925889994232079}",20,13,11.908698011888111,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.8, 'e': 0.019066310942897586}",20,14,9.667939702218723,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.8, 'e': 0.01887564783346861}",30,16,14.58160575151649,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
396,False,"{'a': 0.8, 'e': 0.018686891355133923}",20,12,16.49201758813057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.8, 'e': 0.01850002244158258}",25,18,14.370029085400162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.8, 'e': 0.018315022217166757}",20,8,21.511360748058475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.8, 'e': 0.018131871994995087}",25,11,25.724371140523118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.8, 'e': 0.017950553275045137}",30,17,26.95478225176531,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.8, 'e': 0.017771047742294686}",30,15,28.54092746112979,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.8, 'e': 0.01759333726487174}",25,10,-12.10420055078691,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
403,False,"{'a': 0.8, 'e': 0.017417403892223023}",20,15,11.59529855662891,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.8, 'e': 0.01724322985330079}",25,13,23.499500123579576,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.8, 'e': 0.017070797554767782}",20,13,13.991579187524437,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.8, 'e': 0.016900089579220106}",20,9,21.0010037911684,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.8, 'e': 0.016731088683427903}",25,11,26.513749928704485,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.8, 'e': 0.016563777796593626}",25,19,11.223191076228735,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.8, 'e': 0.016398140018627688}",30,17,23.2879933767674,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.8, 'e': 0.01623415861844141}",20,12,17.759671843571567,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.8, 'e': 0.016071817032256998}",25,13,21.975097731618146,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.8, 'e': 0.015911098861934425}",25,20,12.728392647387427,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.8, 'e': 0.015751987873315082}",30,20,20.7773660422526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.8, 'e': 0.015594467994581931}",30,21,18.013178558425366,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.8, 'e': 0.015438523314636111}",25,18,12.354374117005195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.8, 'e': 0.01528413808148975}",20,12,17.406693025302808,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.8, 'e': 0.015131296700674854}",25,17,13.040116303492907,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.8, 'e': 0.014979983733668104}",30,15,27.386394373566745,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.8, 'e': 0.014830183896331423}",25,9,24.636971162397508,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.8, 'e': 0.014681882057368109}",30,24,10.757616392540665,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.8, 'e': 0.014535063236794427}",20,12,16.746879722498967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.8, 'e': 0.014389712604426484}",30,18,23.593729419410746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.8, 'e': 0.014245815478382218}",25,17,17.872248244657857,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.8, 'e': 0.014103357323598397}",20,14,10.185494508015388,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.8, 'e': 0.013962323750362412}",35,22,26.77735903489074,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.8, 'e': 0.013822700512858787}",25,17,15.2351329168659,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
